annee,maire
1896,Stéphane Jay
1897,Stéphane Jay
1898,Stéphane Jay
1899,Stéphane Jay
1900,Stéphane Jay
1901,Stéphane Jay
1902,Stéphane Jay
1903,Stéphane Jay
1904,Charles Rivail
1905,Charles Rivail
1906,Charles Rivail
1907,Charles Rivail
1908,Félix Viallet
1909,Félix Viallet
1910,Nestor Cornier
1911,Nestor Cornier
1912,Nestor Cornier
1913,Nestor Cornier
1914,Nestor Cornier
1915,Nestor Cornier
1916,Nestor Cornier
1917,Nestor Cornier
1918,Nestor Cornier
1919,Paul Mistral
1920,Paul Mistral
1921,Paul Mistral
1922,Paul Mistral
1923,Paul Mistral
1924,Paul Mistral
1925,Paul Mistral
1926,Paul Mistral
1927,Paul Mistral
1928,Paul Mistral
1929,Paul Mistral
1930,Paul Mistral
1931,Paul Mistral
1932,Léon Martin
1933,Léon Martin
1934,Léon Martin
1935,Paul Cocat
1936,Paul Cocat
1937,Paul Cocat
1938,Paul Cocat
1939,Paul Cocat
1940,Paul Cocat
1941,Paul Cocat
1942,Paul Cocat
1943,Paul Cocat
1944,Frédéric Lafleur
1945,Léon Martin
1946,Léon Martin
1947,Marius Bally
1948,Raymond Perinetti
1949,Léon Martin
1950,Léon Martin
1951,Léon Martin
1952,Léon Martin
1953,Léon Martin
1954,Léon Martin
1955,Léon Martin
1956,Léon Martin
1957,Léon Martin
1958,Léon Martin
1959,Albert Michallon
1960,Albert Michallon
1961,Albert Michallon
1962,Albert Michallon
1963,Albert Michallon
1964,Albert Michallon
1965,Hubert Dubedout
1966,Hubert Dubedout
1967,Hubert Dubedout
1968,Hubert Dubedout
1969,Hubert Dubedout
1970,Hubert Dubedout
1971,Hubert Dubedout
1972,Hubert Dubedout
1973,Hubert Dubedout
1974,Hubert Dubedout
1975,Hubert Dubedout
1976,Hubert Dubedout
1977,Hubert Dubedout
1978,Hubert Dubedout
1979,Hubert Dubedout
1980,Hubert Dubedout
1981,Hubert Dubedout
1982,Hubert Dubedout
1983,Alain Carignon
1984,Alain Carignon
1985,Alain Carignon
1986,Alain Carignon
1987,Alain Carignon
1988,Alain Carignon
1989,Alain Carignon
1990,Alain Carignon
1991,Alain Carignon
1992,Alain Carignon
1993,Alain Carignon
1994,Alain Carignon
1995,Michel Destot
1996,Michel Destot
1997,Michel Destot
1998,Michel Destot
1999,Michel Destot
2000,Michel Destot
2001,Michel Destot
2002,Michel Destot
2003,Michel Destot
2004,Michel Destot
2005,Michel Destot
2006,Michel Destot
2007,Michel Destot
2008,Michel Destot
2009,Michel Destot
2010,Michel Destot
2011,Michel Destot
2012,Michel Destot
2013,Michel Destot
2014,Éric Piolle
2015,Éric Piolle
2016,Éric Piolle
2017,Éric Piolle
2018,Éric Piolle
2019,Éric Piolle
2020,Éric Piolle
2021,Éric Piolle
2022,Éric Piolle
2023,Éric Piolle
2024,Éric Piolle
